PMID,Diagnostic criteria,Prevalence or Incidence,"Type (Any, early to intermediate, late-wet, late-dry)",Sex,Age,End hypothesized 95,age_start,age_end,Region,Nation,Ethnicity,First authors,Period,year_start,year_end,Sample size,Patients with AMD,proportion,standard error,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,Late,,75+,75-95,75.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,717.0,51.0,0.07112970711297072,0.009599386303532862,,,,
,,,Late,Male,75+,75-95,75.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,266.0,15.0,0.05639097744360902,0.014143602276754685,,,,
,,,Late,Female,75+,75-95,75.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,451.0,35.0,0.07760532150776053,0.012598413969569434,,,,
,,,Any,,43+,43-95,43.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,4767.0,1175.0,0.24648625970211874,0.006241936833317537,,,,
,,,Any,,43-54,43-54,43.0,54.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,176.0,0.11702127659574468,0.008288646482893467,,,,
,,,Any,,55-64,55-64,55.0,64.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1301.0,236.0,0.1813989239046887,0.010683532131711308,,,,
,,,Any,,65-74,65-74,65.0,74.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1249.0,382.0,0.3058446757405925,0.013037597601182041,,,,
,,,Any,,75+,75-95,75.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,713.0,383.0,0.5371669004207573,0.018673342464920976,,,,
,,,Early ,,43+,43-95,43.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,4767.0,607.0,0.12733375288441368,0.00482806694115247,,,,
,,,Early ,,43-54,43-54,43.0,54.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,127.0,0.08444148936170212,0.0071696354878967375,,,,
,,,Early ,,55-64,55-64,55.0,64.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1301.0,132.0,0.10146041506533436,0.008371018010767308,,,,
,,,Early ,,65-74,65-74,65.0,74.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1249.0,211.0,0.1689351481184948,0.010602206209093544,,,,
,,,Early ,,75+,75-95,75.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,713.0,137.0,0.19214586255259467,0.014754932617430026,,,,
,,,Intermediate,,43+,43-95,43.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,4767.0,492.0,0.10320956576463185,0.004406389493190925,,,,
,,,Intermediate,,43-54,43-54,43.0,54.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,47.0,0.03125,0.004486492545301124,,,,
,,,Intermediate,,55-64,55-64,55.0,64.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1301.0,96.0,0.07378939277478862,0.007247916729431231,,,,
,,,Intermediate,,65-74,65-74,65.0,74.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1249.0,154.0,0.1232986389111289,0.009303015883392595,,,,
,,,Intermediate,,75+,75-95,75.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,713.0,195.0,0.27349228611500703,0.01669351880812391,,,,
,,,Late,,43+,43-95,43.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,4771.0,76.0,0.015929574512680778,0.0018126354512387058,,,,
,,,Late,Male,43+,43-95,43.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,2122.0,25.0,0.0117813383600377,0.002342346554821886,,,,
,,,Late,Female,43+,43-95,43.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,2649.0,50.0,0.01887504718761797,0.00264402285250648,,,,
,,,Late,,43-54,43-54,43.0,54.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,2.0,0.0013297872340425532,0.0009396761622301152,,,,
,,,Late,Male,43-54,43-54,43.0,54.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,715.0,0.0,0.0,0.0,,,,
,,,Late,Female,43-54,43-54,43.0,54.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,789.0,1.0,0.0012674271229404308,0.0012666236825281906,,,,
,,,Late,,55-64,55-64,55.0,64.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1301.0,8.0,0.006149116064565719,0.0021673463118531905,,,,
,,,Late,Male,55-64,55-64,55.0,64.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,614.0,3.0,0.004885993485342019,0.0028140296934539293,,,,
,,,Late,Female,55-64,55-64,55.0,64.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,687.0,5.0,0.00727802037845706,0.0032429636736164137,,,,
,,,Late,,65-74,65-74,65.0,74.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,1249.0,17.0,0.013610888710968775,0.003278582806602407,,,,
,,,Late,Male,65-74,65-74,65.0,74.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,527.0,8.0,0.015180265654648957,0.005326142105973443,,,,
,,,Late,Female,65-74,65-74,65.0,74.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,722.0,8.0,0.0110803324099723,0.0038957250957537214,,,,
,,,Late,,75+,75-95,75.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,717.0,51.0,0.07112970711297072,0.009599386303532862,,,,
,,,Late,Male,75+,75-95,75.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,266.0,15.0,0.05639097744360902,0.014143602276754685,,,,
,,,Late,Female,75+,75-95,75.0,95.0, North America,US,European Ancestry,"Klein R, 1992",1988-1990,1988.0,1990.0,451.0,35.0,0.07760532150776053,0.012598413969569434,,,,
8311777.0,International classification and grading system for ARM,Prevalence,Any,,40+,40-95,40.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,800.0,227.0,0.28375,0.01593878671276456,,,,
,,,Any,Male,40+,40-95,40.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,516.0,153.0,0.29651162790697677,0.020105944318625408,,,,
,,,Any,Female,40+,40-95,40.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,284.0,74.0,0.2605633802816901,0.026046417472687336,,,,
,,,Any,,40-49,40-49,40.0,49.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,119.0,15.0,0.12605042016806722,0.030425789556125266,,,,
,,,Any,Male,40-49,40-49,40.0,49.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,78.0,11.0,0.14102564102564102,0.03940867560331134,,,,
,,,Any,Female,40-49,40-49,40.0,49.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,41.0,4.0,0.0975609756097561,0.046339897903986786,,,,
,,,Any,,50-59,50-59,50.0,59.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,128.0,14.0,0.109375,0.027586810335596748,,,,
,,,Any,Male,50-59,50-59,50.0,59.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,85.0,9.0,0.10588235294117647,0.03337333917908947,,,,
,,,Any,Female,50-59,50-59,50.0,59.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,43.0,5.0,0.11627906976744186,0.04888483088578331,,,,
,,,Any,,60-69,60-69,60.0,69.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,206.0,50.0,0.24271844660194175,0.029870773640288104,,,,
,,,Any,Male,60-69,60-69,60.0,69.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,148.0,42.0,0.28378378378378377,0.03705825835717565,,,,
,,,Any,Female,60-69,60-69,60.0,69.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,58.0,8.0,0.13793103448275862,0.04527808029645605,,,,
,,,Any,,70-79,70-79,70.0,79.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,212.0,73.0,0.3443396226415094,0.03263360397069401,,,,
,,,Any,Male,70-79,70-79,70.0,79.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,117.0,40.0,0.3418803418803419,0.04385272299199917,,,,
,,,Any,Female,70-79,70-79,70.0,79.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,95.0,33.0,0.3473684210526316,0.048850319301658965,,,,
,,,Any,,80+,80-95,80.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,135.0,75.0,0.5555555555555556,0.042766686606638946,,,,
,,,Any,Male,80+,80-95,80.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,88.0,51.0,0.5795454545454546,0.052621344686391826,,,,
,,,Any,Female,80+,80-95,80.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,47.0,24.0,0.5106382978723404,0.07291598584590632,,,,
,,,Early to intermediate,,40+,40-95,40.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,800.0,215.0,0.26875,0.015673362653719207,,,,
,,,Early to intermediate,Male,40+,40-95,40.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,516.0,148.0,0.2868217054263566,0.019910410521557887,,,,
,,,Early to intermediate,Female,40+,40-95,40.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,284.0,67.0,0.23591549295774647,0.025193572644754334,,,,
,,,Early to intermediate,,40-49,40-49,40.0,49.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,119.0,15.0,0.12605042016806722,0.030425789556125266,,,,
,,,Early to intermediate,Male,40-49,40-49,40.0,49.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,78.0,11.0,0.14102564102564102,0.03940867560331134,,,,
,,,Early to intermediate,Female,40-49,40-49,40.0,49.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,41.0,4.0,0.0975609756097561,0.046339897903986786,,,,
,,,Early to intermediate,,50-59,50-59,50.0,59.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,128.0,14.0,0.109375,0.027586810335596748,,,,
,,,Early to intermediate,Male,50-59,50-59,50.0,59.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,85.0,9.0,0.10588235294117647,0.03337333917908947,,,,
,,,Early to intermediate,Female,50-59,50-59,50.0,59.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,43.0,5.0,0.11627906976744186,0.04888483088578331,,,,
,,,Early to intermediate,,60-69,60-69,60.0,69.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,206.0,50.0,0.24271844660194175,0.029870773640288104,,,,
,,,Early to intermediate,Male,60-69,60-69,60.0,69.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,148.0,42.0,0.28378378378378377,0.03705825835717565,,,,
,,,Early to intermediate,Female,60-69,60-69,60.0,69.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,58.0,8.0,0.13793103448275862,0.04527808029645605,,,,
,,,Early to intermediate,,70-79,70-79,70.0,79.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,212.0,68.0,0.32075471698113206,0.03205766682763325,,,,
,,,Early to intermediate,Male,70-79,70-79,70.0,79.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,117.0,38.0,0.3247863247863248,0.043293884214877905,,,,
,,,Early to intermediate,Female,70-79,70-79,70.0,79.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,95.0,30.0,0.3157894736842105,0.047690502419185245,,,,
,,,Early to intermediate,,80+,80-95,80.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,135.0,68.0,0.5037037037037037,0.04303196766736331,,,,
,,,Early to intermediate,Male,80+,80-95,80.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,88.0,48.0,0.5454545454545454,0.053079473465558386,,,,
,,,Early to intermediate,Female,80+,80-95,80.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,47.0,20.0,0.425531914893617,0.07211906589779134,,,,
,,,Late,,40+,40-95,40.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,800.0,0.0,0.0,0.0,,,,
,,,Late,Male,40+,40-95,40.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,516.0,0.0,0.0,0.0,,,,
,,,Late,Female,40+,40-95,40.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,284.0,0.0,0.0,0.0,,,,
,,,Late,,40-49,40-49,40.0,49.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,119.0,0.0,0.0,0.0,,,,
,,,Late,Male,40-49,40-49,40.0,49.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,78.0,0.0,0.0,0.0,,,,
,,,Late,Female,40-49,40-49,40.0,49.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,41.0,0.0,0.0,0.0,,,,
,,,Late,,50-59,50-59,50.0,59.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,128.0,0.0,0.0,0.0,,,,
,,,Late,Male,50-59,50-59,50.0,59.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,85.0,0.0,0.0,0.0,,,,
,,,Late,Female,50-59,50-59,50.0,59.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,43.0,0.0,0.0,0.0,,,,
,,,Late,,60-69,60-69,60.0,69.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,206.0,0.0,0.0,0.0,,,,
,,,Late,Male,60-69,60-69,60.0,69.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,148.0,0.0,0.0,0.0,,,,
,,,Late,Female,60-69,60-69,60.0,69.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,58.0,0.0,0.0,0.0,,,,
,,,Late,,70-79,70-79,70.0,79.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,212.0,5.0,0.02358490566037736,0.010422367520976415,,,,
,,,Late,Male,70-79,70-79,70.0,79.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,117.0,2.0,0.017094017094017096,0.011983539876828679,,,,
,,,Late,Female,70-79,70-79,70.0,79.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,95.0,3.0,0.031578947368421054,0.017941928973195586,,,,
,,,Late,,80+,80-95,80.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,135.0,7.0,0.05185185185185185,0.019083294480578685,,,,
,,,Late,Male,80+,80-95,80.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,88.0,3.0,0.03409090909090909,0.01934399102383678,,,,
,,,Late,Female,80+,80-95,80.0,95.0, North America,US,NR,"West S et al, 1994",1988-1990,1988.0,1990.0,47.0,4.0,0.0851063829787234,0.04070215806788415,,,,
,,,Any,,40+,40-95,40.0,95.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,800.0,227.0,0.28375,0.01593878671276456,,,,
,,,Any,Male,40+,40-95,40.0,95.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,516.0,153.0,0.29651162790697677,0.020105944318625408,,,,
,,,Any,Female,40+,40-95,40.0,95.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,284.0,74.0,0.2605633802816901,0.026046417472687336,,,,
,,,Any,,40-49,40-49,40.0,49.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,119.0,15.0,0.12605042016806722,0.030425789556125266,,,,
,,,Any,Male,40-49,40-49,40.0,49.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,78.0,11.0,0.14102564102564102,0.03940867560331134,,,,
,,,Any,Female,40-49,40-49,40.0,49.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,41.0,4.0,0.0975609756097561,0.046339897903986786,,,,
,,,Any,,50-59,50-59,50.0,59.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,128.0,14.0,0.109375,0.027586810335596748,,,,
,,,Any,Male,50-59,50-59,50.0,59.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,85.0,9.0,0.10588235294117647,0.03337333917908947,,,,
,,,Any,Female,50-59,50-59,50.0,59.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,43.0,5.0,0.11627906976744186,0.04888483088578331,,,,
,,,Any,,60-69,60-69,60.0,69.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,206.0,50.0,0.24271844660194175,0.029870773640288104,,,,
,,,Any,Male,60-69,60-69,60.0,69.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,148.0,42.0,0.28378378378378377,0.03705825835717565,,,,
,,,Any,Female,60-69,60-69,60.0,69.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,58.0,8.0,0.13793103448275862,0.04527808029645605,,,,
,,,Any,,70-79,70-79,70.0,79.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,212.0,73.0,0.3443396226415094,0.03263360397069401,,,,
,,,Any,Male,70-79,70-79,70.0,79.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,117.0,40.0,0.3418803418803419,0.04385272299199917,,,,
,,,Any,Female,70-79,70-79,70.0,79.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,95.0,33.0,0.3473684210526316,0.048850319301658965,,,,
,,,Any,,80+,80-95,80.0,95.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,135.0,75.0,0.5555555555555556,0.042766686606638946,,,,
,,,Any,Male,80+,80-95,80.0,95.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,88.0,51.0,0.5795454545454546,0.052621344686391826,,,,
,,,Any,Female,80+,80-95,80.0,95.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,47.0,24.0,0.5106382978723404,0.07291598584590632,,,,
,,,Early to intermediate,,40+,40-95,40.0,95.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,800.0,215.0,0.26875,0.015673362653719207,,,,
,,,Early to intermediate,Male,40+,40-95,40.0,95.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,516.0,148.0,0.2868217054263566,0.019910410521557887,,,,
,,,Early to intermediate,Female,40+,40-95,40.0,95.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,284.0,67.0,0.23591549295774647,0.025193572644754334,,,,
,,,Early to intermediate,,40-49,40-49,40.0,49.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,119.0,15.0,0.12605042016806722,0.030425789556125266,,,,
,,,Early to intermediate,Male,40-49,40-49,40.0,49.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,78.0,11.0,0.14102564102564102,0.03940867560331134,,,,
,,,Early to intermediate,Female,40-49,40-49,40.0,49.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,41.0,4.0,0.0975609756097561,0.046339897903986786,,,,
,,,Early to intermediate,,50-59,50-59,50.0,59.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,128.0,14.0,0.109375,0.027586810335596748,,,,
,,,Early to intermediate,Male,50-59,50-59,50.0,59.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,85.0,9.0,0.10588235294117647,0.03337333917908947,,,,
,,,Early to intermediate,Female,50-59,50-59,50.0,59.0, North America,US,European Ancestry,"West S et al, 1994",1988-1990,1988.0,1990.0,43.0,5.0,0.11627906976744186,0.04888483088578331,,,,
